model_key,model_label,row,pos,AUC_mean,AUC_std,OR_mean,OR_lo95,OR_hi95
TWAS_T,TWAS Tissue (Spleen),r1,0,0.57302978515625,0.03181954468480478,1.9975092941797257,1.0633333333333332,3.979145299145295
TWAS_CT,TWAS Celltype (CD56$^{\mathrm{bright}}$ NK),r1,1,0.54368408203125,0.033403634988690784,1.6144717796488208,0.9382352941176471,3.014025974025971
FOCUS_T,MA-FOCUS Tissue (Esophagus Mucosa),r1,2,0.596351318359375,0.03525647476857014,3.016909853980442,1.391898148148148,5.650833333333329
FOCUS_CT,MA-FOCUS Celltype (CD4$^+$ Naive T),r1,3,0.5785693359375,0.034396942764649385,1.7731401529518143,0.7068742985409652,3.3641666666666654
PRS_CS,PRS-CS (default),r2,0,0.49130615234375,0.031105640668153203,1.029284187989186,0.6842105263157895,1.879120879120879
PRS_CSx,PRS-CSx (default),r2,1,0.51351806640625,0.030533582814955496,1.4195310938606827,0.8823529411764706,2.2
UNI_T,Unified Tissue PTRS,r2,2,0.549814453125,0.030847202652736976,1.8675727976310372,1.0,3.2857142857142856
UNI_CT,Unified Celltype PTRS,r2,3,0.525665283203125,0.03618202929989422,1.3139697564071366,0.6829803921568628,1.8994949494949493
XM_CS,Cross-modal + PRS-CS,r2,4,0.62662109375,0.038706069162846586,3.3186535920715783,1.1333333333333333,6.6
XM_CSx,Cross-modal + PRS-CSx,r2,5,0.6319970703125,0.03987830619498816,3.546364677828275,1.3671428571428572,6.388888888888889
